star_name,planet_amount,star_temp,star_radius,star_mass,star_metallicity,star_surfaceGravity
Kepler-43,1,6050,1.38,1.27,0.4,4.26
Kepler-44,1,5800,1.35,1.12,0.15,4.22
Kepler-447,1,5493,1.05,1,0.07,4.4
Kepler-45,1,3820,0.55,0.59,0.28,4.7
Kepler-452,1,5757,1.11,1.037,0.21,4.32
Kepler-539,2,5820,0.952,1.048,-0.01,4.502
Kepler-62,5,4925,0.64,0.69,-0.37,4.68
Kepler-66,1,5962,0.966,1.038,-0.2,4.484
Kepler-67,1,5331,0.778,0.865,-0.2,4.594
Kepler-69,2,5638,0.93,0.81,-0.29,4.4
Kepler-74,1,6050,1.51,1.4,0.34,4.2
Kepler-75,1,5200,0.89,0.91,0.3,4.5
Kepler-76,1,6409,1.32,1.2,-0.1,4.2
Kepler-77,1,5520,0.99,0.95,0.2,4.42
Kepler-80,6,4540,0.678,0.73,0.04,4.639
Kepler-91,1,4550,6.3,1.31,0.11,2.953
L 168-9,1,3800,0.6,0.62,0.04,4.04
L 98-59,5,3415,0.3155,0.2923,-0.46,4.91
LHS 1140,2,3096,0.2159,0.1844,-0.15,5.041
LHS 1478,1,3381,0.246,0.236,-0.13,4.87
LHS 1815,1,3643,0.501,0.502,-0.12,4.77
LP 714-47,1,3950,0.584,0.59,0.41,4.64
LP 791-18,3,2960,0.171,0.139,-0.09,5.115
LP 890-9,2,2850,0.1556,0.118,-0.028,5.126
LSPM J2116+0234,1,3475,0.431,0.43,-0.05,4.95
LTT 9779,1,5443,0.949,1.02,0.27,4.35
MASCARA-1,1,7554,2.1,1.72,0,4
NGC 2682 Sand 1429,1,6000,2.13,1.26,-0.013,4.01
NGC 2682 YBP 1194,1,5780,0.99,1.01,0.023,4.44
NGC 2682 YBP 1514,1,5725,0.89,0.96,0.03,4.57
NGTS-1,1,3916,0.573,0.617,0,4.71
NGTS-10,1,4600,0.697,0.696,-0.02,4.595
NGTS-11,1,5050,0.832,0.862,0.22,4.5
NGTS-12,1,5690,1.589,1.021,-0.03,4.045
NGTS-15,1,5600,0.954,0.995,0.15,4.4
NGTS-16,1,5550,1.213,1.002,0.35,4.35
NGTS-17,1,5650,1.337,1.025,0.15,4
NGTS-18,1,5610,1.392,1.003,0.15,4.16
